id,longitude,latitude,time,B2,B3,B4,B8,B8A,B11,B12,timestamp
20190509T222549_20190509T222546_T59GMM,170.89195130552548,-43.99916820582472,1557440913000,1.0,1.0,1.0,1.0,11.0,143,102,2019-05-10 10:28:33
20190512T223709_20190512T223711_T59GMM,170.89195130552548,-43.99916820582472,1557700710000,1.0,1.0,1.0,1.0,53.0,123,93,2019-05-13 10:38:30
20190514T222541_20190514T222606_T59GMM,170.89195130552548,-43.99916820582472,1557872909000,4904.0,4720.0,4520.0,5280.0,5050.0,3916,3271,2019-05-15 10:28:29
20190517T223711_20190517T223706_T59GMM,170.89195130552548,-43.99916820582472,1558132705000,1.0,257.0,528.0,719.0,1304.0,1073,1070,2019-05-18 10:38:25
20190519T222549_20190519T222633_T59GMM,170.89195130552548,-43.99916820582472,1558304914000,1.0,1.0,1.0,1.0,27.0,144,111,2019-05-20 10:28:34
20190522T223709_20190522T223711_T59GMM,170.89195130552548,-43.99916820582472,1558564710000,1.0,1.0,1.0,1.0,29.0,108,76,2019-05-23 10:38:30
20190524T222541_20190524T222541_T59GMM,170.89195130552548,-43.99916820582472,1558736908000,331.0,357.0,332.0,508.0,453.0,489,401,2019-05-25 10:28:28
20190527T223711_20190527T223705_T59GMM,170.89195130552548,-43.99916820582472,1558996705000,995.0,1252.0,1360.0,2042.0,1910.0,1532,1253,2019-05-28 10:38:25
20190529T222549_20190529T222546_T59GMM,170.89195130552548,-43.99916820582472,1559168913000,1.0,1.0,1.0,61.0,99.0,121,106,2019-05-30 10:28:33
20190601T223709_20190601T223710_T59GMM,170.89195130552548,-43.99916820582472,1559428710000,1.0,11.0,69.0,49.0,101.0,35,8,2019-06-02 10:38:30
20190603T222541_20190603T222540_T59GMM,170.89195130552548,-43.99916820582472,1559600907000,8856.0,8376.0,8048.0,7884.0,7981.0,2532,3197,2019-06-04 10:28:27
20190606T223701_20190606T223704_T59GMM,170.89195130552548,-43.99916820582472,1559860703000,1.0,14.0,2.0,31.0,11.0,135,89,2019-06-07 10:38:23
20190608T222549_20190608T222632_T59GMM,170.89195130552548,-43.99916820582472,1560032913000,2666.0,2976.0,3060.0,4104.0,3688.0,2207,2067,2019-06-09 10:28:33
20190611T223709_20190611T223709_T59GMM,170.89195130552548,-43.99916820582472,1560292709000,10272.0,9680.0,9304.0,10056.0,9141.0,4136,4206,2019-06-12 10:38:29
20190613T222541_20190613T222541_T59GMM,170.89195130552548,-43.99916820582472,1560464908000,1078.0,1308.0,1466.0,2172.0,1992.0,1613,1352,2019-06-14 10:28:28
20190616T223711_20190616T223706_T59GMM,170.89195130552548,-43.99916820582472,1560724705000,1.0,18.0,1.0,16.0,,147,107,2019-06-17 10:38:25
20190618T222549_20190618T222545_T59GMM,170.89195130552548,-43.99916820582472,1560896913000,306.0,220.0,140.0,193.0,164.0,257,192,2019-06-19 10:28:33
20190621T223709_20190621T223710_T59GMM,170.89195130552548,-43.99916820582472,1561156710000,6556.0,6168.0,6372.0,7060.0,6442.0,2976,3258,2019-06-22 10:38:30
20190623T222541_20190623T222542_T59GMM,170.89195130552548,-43.99916820582472,1561328909760,1.0,51.0,1.0,1.0,1.0,109,70,2019-06-24 10:28:29
20190626T223711_20190626T223707_T59GMM,170.89195130552548,-43.99916820582472,1561588706585,32.0,70.0,19.0,1.0,31.0,146,140,2019-06-27 10:38:26
20190628T222549_20190628T222546_T59GMM,170.89195130552548,-43.99916820582472,1561760913999,37.0,174.0,225.0,691.0,586.0,780,637,2019-06-29 10:28:33
20190701T223709_20190701T223711_T59GMM,170.89195130552548,-43.99916820582472,1562020710738,3672.0,4056.0,3972.0,5296.0,4625.0,3150,3062,2019-07-02 10:38:30
20190703T222541_20190703T222543_T59GMM,170.89195130552548,-43.99916820582472,1562192910473,1.0,118.0,33.0,1.0,4.0,145,120,2019-07-04 10:28:30
20190706T223711_20190706T223707_T59GMM,170.89195130552548,-43.99916820582472,1562452707176,1.0,43.0,1.0,15.0,53.0,148,127,2019-07-07 10:38:27
20190708T222549_20190708T222633_T59GMM,170.89195130552548,-43.99916820582472,1562624914319,1762.0,1832.0,1808.0,3334.0,3010.0,2462,1980,2019-07-09 10:28:34
20190711T223709_20190711T223711_T59GMM,170.89195130552548,-43.99916820582472,1562884710909,9088.0,8328.0,7824.0,8312.0,7105.0,3306,3612,2019-07-12 10:38:30
20190713T222541_20190713T222713_T59GMM,170.89195130552548,-43.99916820582472,1563056910724,1.0,36.0,1.0,4.0,58.0,110,80,2019-07-14 10:28:30
20190716T223711_20190716T223707_T59GMM,170.89195130552548,-43.99916820582472,1563316707307,15928.0,15848.0,15664.0,15488.0,15486.0,4097,4202,2019-07-17 10:38:27
20190718T222549_20190718T222546_T59GMM,170.89195130552548,-43.99916820582472,1563488914233,9080.0,8832.0,8584.0,9392.0,8460.0,3504,3810,2019-07-19 10:28:34
20190721T223709_20190721T223711_T59GMM,170.89195130552548,-43.99916820582472,1563748710701,1.0,35.0,1.0,1.0,2.0,60,25,2019-07-22 10:38:30
20190723T222541_20190723T222543_T59GMM,170.89195130552548,-43.99916820582472,1563920910575,1338.0,1538.0,1588.0,2320.0,2136.0,2089,1900,2019-07-24 10:28:30
20190726T223711_20190726T223707_T59GMM,170.89195130552548,-43.99916820582472,1564180707010,1.0,559.0,844.0,1832.0,1671.0,1775,1479,2019-07-27 10:38:27
20190728T222549_20190728T222633_T59GMM,170.89195130552548,-43.99916820582472,1564352913709,7628.0,7592.0,7816.0,8728.0,8457.0,5342,5237,2019-07-29 10:28:33
20190731T223709_20190731T223710_T59GMM,170.89195130552548,-43.99916820582472,1564612710083,197.0,298.0,142.0,31.0,30.0,87,101,2019-08-01 10:38:30
20190802T222541_20190802T222542_T59GMM,170.89195130552548,-43.99916820582472,1564784910030,60.0,248.0,130.0,70.0,1.0,154,122,2019-08-03 10:28:30
20190805T223711_20190805T223707_T59GMM,170.89195130552548,-43.99916820582472,1565044706351,92.0,286.0,122.0,86.0,98.0,194,151,2019-08-06 10:38:26
20190807T222549_20190807T222545_T59GMM,170.89195130552548,-43.99916820582472,1565216912794,1.0,1.0,1.0,1.0,461.0,459,611,2019-08-08 10:28:32
20190810T223709_20190810T223709_T59GMM,170.89195130552548,-43.99916820582472,1565476709026,1558.0,1766.0,1998.0,2730.0,2613.0,1430,939,2019-08-11 10:38:29
20190812T222541_20190812T222624_T59GMM,170.89195130552548,-43.99916820582472,1565648909034,1.0,82.0,54.0,1.0,31.0,99,84,2019-08-13 10:28:29
20190815T223711_20190815T223705_T59GMM,170.89195130552548,-43.99916820582472,1565908705255,1.0,88.0,315.0,815.0,803.0,833,773,2019-08-16 10:38:25
20190817T222549_20190817T222800_T59GMM,170.89195130552548,-43.99916820582472,1566080911498,95.0,105.0,46.0,4.0,1.0,94,77,2019-08-18 10:28:31
20190820T223709_20190820T223708_T59GMM,170.89195130552548,-43.99916820582472,1566340707610,4716.0,4684.0,4912.0,5901.0,5994.0,5219,4649,2019-08-21 10:38:27
20190822T222541_20190822T222804_T59GMM,170.89195130552548,-43.99916820582472,1566512907642,1.0,13.0,84.0,377.0,397.0,393,309,2019-08-23 10:28:27
20190825T223701_20190825T223704_T59GMM,170.89195130552548,-43.99916820582472,1566772703727,1922.0,2380.0,2636.0,3638.0,3669.0,1676,1572,2019-08-26 10:38:23
20190827T222539_20190827T222629_T59GMM,170.89195130552548,-43.99916820582472,1566944909760,305.0,691.0,774.0,1574.0,1449.0,1451,1100,2019-08-28 10:28:29
20190830T223709_20190830T223706_T59GMM,170.89195130552548,-43.99916820582472,1567204705776,62.0,81.0,34.0,44.0,100.0,126,108,2019-08-31 10:38:25
20190901T222541_20190901T222538_T59GMM,170.89195130552548,-43.99916820582472,1567376905875,1.0,47.0,20.0,31.0,49.0,144,114,2019-09-02 10:28:25
20190904T223701_20190904T223706_T59GMM,170.89195130552548,-43.99916820582472,1567636701822,4300.0,4596.0,4936.0,5664.0,5667.0,4573,3709,2019-09-05 10:38:21
20190906T222539_20190906T222734_T59GMM,170.89195130552548,-43.99916820582472,1567808907594,8.0,15.0,1.0,1.0,1.0,106,87,2019-09-07 10:28:27
20190909T223709_20190909T223703_T59GMM,170.89195130552548,-43.99916820582472,1568068703463,33.0,62.0,22.0,,54.0,104,82,2019-09-10 10:38:23
20190911T222541_20190911T222536_T59GMM,170.89195130552548,-43.99916820582472,1568240903772,5080.0,4840.0,4812.0,5704.0,5541.0,3893,3713,2019-09-12 10:28:23
20190914T223701_20190914T223701_T59GMM,170.89195130552548,-43.99916820582472,1568500701008,15.0,70.0,20.0,42.0,44.0,121,88,2019-09-15 10:38:21
20190916T222539_20190916T222700_T59GMM,170.89195130552548,-43.99916820582472,1568672905000,709.0,773.0,766.0,1110.0,1111.0,858,714,2019-09-17 10:28:25
20190919T223659_20190919T223701_T59GMM,170.89195130552548,-43.99916820582472,1568932701289,145.0,145.0,80.0,71.0,72.0,128,115,2019-09-20 10:38:21
20190921T222541_20190921T222538_T59GMM,170.89195130552548,-43.99916820582472,1569104902640,5168.0,5048.0,5112.0,5612.0,5220.0,4539,3644,2019-09-22 10:28:22
20190921T222541_20190921T222820_T59GMM,170.89195130552548,-43.99916820582472,1569104909461,5620.0,5316.0,5240.0,5580.0,5195.0,4467,3623,2019-09-22 10:28:29
20190924T223701_20190924T223703_T59GMM,170.89195130552548,-43.99916820582472,1569364702857,11976.0,11056.0,10800.0,11056.0,10259.0,3235,2982,2019-09-25 10:38:22
20190926T222539_20190926T222537_T59GMM,170.89195130552548,-43.99916820582472,1569536905589,2502.0,2484.0,2412.0,3442.0,3188.0,2161,1928,2019-09-27 10:28:25
20190929T223659_20190929T223702_T59GMM,170.89195130552548,-43.99916820582472,1569796702507,10752.0,10080.0,9912.0,10528.0,9569.0,5556,5913,2019-09-30 10:38:22
20191001T222541_20191001T222539_T59GMM,170.89195130552548,-43.99916820582472,1569968907344,1660.0,1934.0,1826.0,3626.0,2661.0,2589,1939,2019-10-02 10:28:27
20191004T223701_20191004T223704_T59GMM,170.89195130552548,-43.99916820582472,1570228704263,5840.0,5704.0,5776.0,6332.0,6125.0,2069,1589,2019-10-05 10:38:24
20191006T222539_20191006T222538_T59GMM,170.89195130552548,-43.99916820582472,1570400906413,94.0,72.0,43.0,1.0,1.0,140,103,2019-10-07 10:28:26
20191009T223709_20191009T223703_T59GMM,170.89195130552548,-43.99916820582472,1570660703153,9792.0,9232.0,9040.0,9312.0,8815.0,5648,4273,2019-10-10 10:38:23
20191011T222541_20191011T222540_T59GMM,170.89195130552548,-43.99916820582472,1570832908360,926.0,1318.0,1478.0,3284.0,2964.0,2383,1805,2019-10-12 10:28:28
20191014T223711_20191014T223705_T59GMM,170.89195130552548,-43.99916820582472,1571092705137,2718.0,2608.0,2592.0,3852.0,3877.0,2877,2548,2019-10-15 10:38:25
20191016T222539_20191016T222611_T59GMM,170.89195130552548,-43.99916820582472,1571264906734,3710.0,3664.0,3584.0,5216.0,4917.0,4093,3450,2019-10-17 10:28:26
20191019T223709_20191019T223703_T59GMM,170.89195130552548,-43.99916820582472,1571524703294,7.0,1.0,1.0,1.0,10.0,71,52,2019-10-20 10:38:23
20191021T222551_20191021T222547_T59GMM,170.89195130552548,-43.99916820582472,1571696908815,7144.0,7084.0,7072.0,7672.0,7407.0,2216,2342,2019-10-22 10:28:28
20191024T223711_20191024T223712_T59GMM,170.89195130552548,-43.99916820582472,1571956705413,1682.0,1764.0,1842.0,3304.0,3339.0,2403,1991,2019-10-25 10:38:25
20191026T222549_20191026T222545_T59GMM,170.89195130552548,-43.99916820582472,1572128906455,702.0,834.0,713.0,1688.0,1594.0,1432,963,2019-10-27 10:28:26
20191029T223709_20191029T223709_T59GMM,170.89195130552548,-43.99916820582472,1572388702859,115.0,115.0,51.0,13.0,32.0,121,86,2019-10-30 10:38:22
20191031T222551_20191031T222547_T59GMM,170.89195130552548,-43.99916820582472,1572560908710,1152.0,1542.0,1478.0,2788.0,3015.0,2067,1847,2019-11-01 10:28:28
20191103T223711_20191103T223712_T59GMM,170.89195130552548,-43.99916820582472,1572820705099,11.0,78.0,36.0,2.0,46.0,143,117,2019-11-04 10:38:25
20191105T222549_20191105T222544_T59GMM,170.89195130552548,-43.99916820582472,1572992905527,7164.0,7104.0,7120.0,7744.0,7761.0,4342,3451,2019-11-06 10:28:25
20191108T223709_20191108T223708_T59GMM,170.89195130552548,-43.99916820582472,1573252701737,5672.0,5272.0,4884.0,6456.0,6063.0,4473,3880,2019-11-09 10:38:21
