Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Fairlie Aws,37255,H40075,-44.03774,170.77051,403,H,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),WD_Rel,WS_Rel,WindRun_Rel,Rain_Rel,Tdry_Rel,Twet_Rel,Tmax_Rel,Tmin_Rel,Tgmin_Rel,ET05_Rel,ET10_Rel,ET20_Rel,ET30_Rel,ET100_Rel,Pmsl_Rel,Pstn_Rel,Sun_Rel,Rad_Rel
Fairlie Aws,20170213:0000,352,1.9,15,14.9,247,3.0,9.3,8.5,89.8,18.3,8.3,-,-,-,-,-,-,983.5,937.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170214:0000,270,3.4,272,16.5,368,0.0,13.1,8.4,47.9,17.7,7.8,-,-,-,-,-,-,997.8,951.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170215:0000,309,2.0,128,10.3,206,0.0,13.1,7.5,39.3,20.6,4.6,-,-,-,-,-,-,1010.7,964.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170216:0000,349,1.0,103,7.2,185,0.0,11.2,9.1,74.3,17.1,5.0,-,-,-,-,-,-,1018.2,970.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170217:0000,69,0.7,113,9.8,245,0.0,12.5,11.4,86.5,20.0,10.0,-,-,-,-,-,-,1022.2,974.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170218:0000,132,2.7,154,5.7,135,0.0,12.3,11.7,92.4,17.0,12.3,-,-,-,-,-,-,1023.3,975.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170219:0000,110,0.9,86,7.2,151,0.2,14.8,14.0,90.9,21.4,12.1,-,-,-,-,-,-,1022.2,975.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170220:0000,121,3.8,308,16.0,224,0.0,14.0,13.4,93.6,24.7,11.3,-,-,-,-,-,-,1024.1,977.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170221:0000,18,1.8,215,11.8,227,0.0,21.2,15.6,52.9,30.6,14.1,-,-,-,-,-,-,1019.1,973.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170222:0000,101,5.2,97,8.8,141,0.0,14.5,13.7,91.5,15.5,14.4,-,-,-,-,-,-,1016.4,969.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170223:0000,280,0.4,120,5.7,105,0.0,14.0,13.3,92.0,20.9,13.6,-,-,-,-,-,-,1025.5,978.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170224:0000,106,0.9,122,8.8,190,0.2,13.1,12.3,90.2,24.3,10.1,-,-,-,-,-,-,1022.0,974.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170225:0000,325,1.9,129,11.3,301,3.6,14.2,13.6,93.2,24.8,12.4,-,-,-,-,-,-,1012.2,965.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170226:0000,153,4.0,138,8.2,197,0.8,9.6,9.2,94.2,11.4,9.6,-,-,-,-,-,-,1021.8,974.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170227:0000,18,0.8,127,7.7,154,0.0,10.1,9.4,90.4,19.6,6.1,-,-,-,-,-,-,1029.9,981.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170228:0000,167,0.9,127,7.2,182,0.0,11.0,10.3,90.5,19.4,8.0,-,-,-,-,-,-,1033.8,985.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170301:0000,253,2.1,113,7.7,179,0.6,13.1,11.8,85.3,16.5,10.6,-,-,-,-,-,-,1028.5,981.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170302:0000,288,3.0,161,8.2,209,0.2,13.7,12.0,80.5,23.6,7.6,-,-,-,-,-,-,1026.1,978.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170303:0000,27,2.1,281,18.0,289,0.4,14.7,10.6,56.7,25.6,9.7,-,-,-,-,-,-,1012.9,966.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170304:0000,192,1.4,356,11.3,188,0.0,9.5,9.0,93.6,21.8,9.4,-,-,-,-,-,-,1013.3,965.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170305:0000,59,1.2,285,11.8,243,0.0,16.7,10.7,42.2,27.4,9.5,-,-,-,-,-,-,1009.1,963.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170306:0000,312,1.9,138,6.7,232,4.0,11.4,10.0,82.9,18.3,7.8,-,-,-,-,-,-,1010.2,963.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170307:0000,98,3.8,105,9.8,188,1.0,7.1,6.6,93.2,13.9,7.1,-,-,-,-,-,-,1012.2,964.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170308:0000,202,0.8,162,6.7,174,0.2,6.7,5.7,85.2,14.3,4.5,-,-,-,-,-,-,1023.7,975.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170309:0000,220,1.4,132,7.2,191,0.0,8.3,7.1,83.5,18.1,3.0,-,-,-,-,-,-,1024.8,976.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170310:0000,127,2.2,108,8.8,208,7.2,10.2,8.7,80.7,23.3,6.0,-,-,-,-,-,-,1018.1,970.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170311:0000,97,1.1,109,22.1,266,11.4,10.5,10.0,93.6,12.0,10.3,-,-,-,-,-,-,1011.8,964.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
